         558378 function calls (525617 primitive calls) in 7.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1698    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 quantized.py:179(from_embedding)
     1246    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       52    0.000    0.000    0.000    0.000 cache.py:391(make_mask)
      512    0.000    0.000    0.000    0.000 base.py:456(_validate_keys)
    81/79    0.000    0.000    0.000    0.000 copy.py:233(<genexpr>)
     2432    0.000    0.000    0.000    0.000 inspect.py:2733(name)
        1    0.000    0.000    0.000    0.000 __init__.py:1641(_log)
        2    0.000    0.000    0.000    0.000 utils.py:206(_download)
        3    0.000    0.000    0.000    0.000 _compiler.py:590(_code)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
      120    0.000    0.000    0.000    0.000 inspect.py:1686(_check_class)
     1083    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        4    0.000    0.000    0.000    0.000 dataclasses.py:670(_init_fn)
       51    0.000    0.000    0.000    0.000 generate.py:382(<lambda>)
        3    0.000    0.000    0.000    0.000 modeling_rope_utils.py:632(convert_rope_params_to_dict)
     1246    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
     1054    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
       52    0.000    0.000    0.000    0.000 base.py:58(create_ssm_mask)
       64    0.000    0.000    0.000    0.000 inspect.py:1339(formatannotation)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:24(__annotate__)
     1193    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 glob.py:192(_listdir)
       14    0.000    0.000    0.000    0.000 <frozen genericpath>:36(isfile)
       14    0.000    0.000    0.000    0.000 __init__.py:341(drive)
      392    0.000    0.000    0.000    0.000 quantized.py:11(_defaults_for_mode)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
        1    0.000    0.000    0.000    0.000 quantized.py:117(__init__)
       88    0.000    0.000    0.000    0.000 dataclasses.py:751(_is_classvar)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      512    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       60    0.000    0.000    0.000    0.000 inspect.py:2057(_signature_is_builtin)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       14    0.000    0.000    0.000    0.000 glob.py:158(_iterdir)
       10    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_list)
       42    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
     1426    0.000    0.000    0.000    0.000 inspect.py:2745(kind)
        6    0.000    0.000    0.000    0.000 typing.py:396(inner)
      886    0.000    0.000    0.000    0.000 utils.py:109(<genexpr>)
       39    0.000    0.000    0.000    0.000 copyreg.py:103(__newobj__)
       95    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x101748908}
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:228(make_byte_decoder)
        7    0.000    0.000    0.000    0.000 __init__.py:190(__fspath__)
       50    0.000    0.000    0.000    0.000 tokenizer_utils.py:52(last_segment)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     13/9    0.000    0.000    0.000    0.000 configuration_utils.py:330(_attn_implementation)
        1    0.000    0.000    0.000    0.000 embedding.py:23(__init__)
       10    0.000    0.000    0.000    0.000 rope_utils.py:198(initialize_rope)
     61/1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1935(convert_added_tokens)
        1    0.000    0.000    0.000    0.000 switch_layers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cache.py:13(make_prompt_cache)
        2    0.000    0.000    0.000    0.000 tokenization_utils_base.py:219(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:325(as_posix)
     1186    0.000    0.000    0.000    0.000 inspect.py:2737(default)
      111    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
     13/9    0.000    0.000    0.000    0.000 configuration_utils.py:352(_experts_implementation)
       88    0.000    0.000    0.000    0.000 typing.py:2483(get_origin)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:515(make_cache)
       61    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      120    0.000    0.000    0.000    0.000 inspect.py:1712(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 __init__.py:1626(makeRecord)
       40    0.000    0.000    0.000    0.000 switch_layers.py:20(_scatter_unsort)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:297(make_cache)
        2    0.000    0.000    0.000    0.000 activations.py:9(swiglu)
        1    0.000    0.000    0.000    0.000 configuration_qwen3_5_moe.py:1(<module>)
       60    0.000    0.000    0.000    0.000 inspect.py:2404(_descriptor_get)
       10    0.000    0.000    0.000    0.000 positional_encoding.py:30(__init__)
        3    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
      7/3    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
        2    0.000    0.000    0.000    0.000 __init__.py:1133(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       51    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
       60    0.000    0.000    0.000    0.000 inspect.py:2071(_signature_is_functionlike)
      180    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
        2    0.000    0.000    0.000    0.000 typing.py:1552(__getitem__)
        9    0.000    0.000    0.000    0.000 configuration_utils.py:274(_create_id_label_maps)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:963(update)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(handle)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.000    0.000 {method '__setstate__' of 'tokenizers.models.Model' objects}
  136/134    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      225    0.000    0.000    0.000    0.000 {method 'append' of 'bytearray' objects}
      159    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       29    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1250(__setattr__)
       51    0.000    0.000    0.000    0.000 tokenizer_utils.py:195(_maybe_trim_space)
      180    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
        1    0.000    0.000    0.000    0.000 __init__.py:1721(callHandlers)
        4    0.000    0.000    0.000    0.000 activations.py:134(silu)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
       60    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
        1    0.000    0.000    0.000    0.000 import_utils.py:2664(spread_import_structure)
       15    0.000    0.000    0.000    0.000 __init__.py:135(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1011(handle)
        3    0.000    0.000    0.000    0.000 modeling_rope_utils.py:705(validate_rope)
      189    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
