         165190 function calls (158580 primitive calls) in 2.098 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.000    0.000 __init__.py:341(drive)
     1095    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:635(cached)
      133    0.000    0.000    0.000    0.000 copy.py:212(_keep_alive)
       86    0.000    0.000    0.000    0.000 dataclasses.py:751(_is_classvar)
       42    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        6    0.000    0.000    0.000    0.000 typing.py:396(inner)
       39    0.000    0.000    0.000    0.000 copyreg.py:103(__newobj__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       53    0.000    0.000    0.000    0.000 inspect.py:2057(_signature_is_builtin)
     99/1    0.000    0.000    0.000    0.000 configuration_utils.py:776(_encode_special_floats)
      779    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      193    0.000    0.000    0.000    0.000 {method 'append' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 embedding.py:23(__init__)
        1    0.000    0.000    0.000    0.000 tokenizer_utils.py:228(make_byte_decoder)
       14    0.000    0.000    0.000    0.000 <frozen genericpath>:36(isfile)
     13/9    0.000    0.000    0.000    0.000 configuration_utils.py:330(_attn_implementation)
       82    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x101ae8908}
     1264    0.000    0.000    0.000    0.000 inspect.py:2745(kind)
      365    0.000    0.000    0.000    0.000 base.py:293(<lambda>)
     99/1    0.000    0.000    0.000    0.000 configuration_utils.py:801(_decode_special_floats)
        7    0.000    0.000    0.000    0.000 __init__.py:190(__fspath__)
     13/9    0.000    0.000    0.000    0.000 configuration_utils.py:352(_experts_implementation)
      342    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       51    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 switch_layers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cache.py:13(make_prompt_cache)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     61/1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1935(convert_added_tokens)
        1    0.000    0.000    0.000    0.000 glob.py:192(_listdir)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:515(make_cache)
     1004    0.000    0.000    0.000    0.000 base.py:270(<lambda>)
       12    0.000    0.000    0.000    0.000 copy.py:172(_deepcopy_list)
      332    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       48    0.000    0.000    0.000    0.000 tokenizer_utils.py:195(_maybe_trim_space)
      108    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      678    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       86    0.000    0.000    0.000    0.000 typing.py:2483(get_origin)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(handle)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:297(make_cache)
     1042    0.000    0.000    0.000    0.000 inspect.py:2737(default)
        1    0.000    0.000    0.000    0.000 __init__.py:185(dumps)
      106    0.000    0.000    0.000    0.000 inspect.py:1712(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 configuration_qwen3_5.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:325(as_posix)
       12    0.000    0.000    0.000    0.000 glob.py:158(_iterdir)
        3    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:1721(callHandlers)
        1    0.000    0.000    0.000    0.000 encoder.py:185(encode)
       53    0.000    0.000    0.000    0.000 inspect.py:2404(_descriptor_get)
        2    0.000    0.000    0.000    0.000 typing.py:1552(__getitem__)
       53    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       29    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1250(__setattr__)
  135/133    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 __init__.py:1011(handle)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
        6    0.000    0.000    0.000    0.000 rope_utils.py:198(initialize_rope)
        1    0.000    0.000    0.000    0.000 encoder.py:207(iterencode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
      404    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      7/3    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.000    0.000 import_utils.py:2664(spread_import_structure)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       10    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1626(makeRecord)
      606    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        9    0.000    0.000    0.000    0.000 configuration_utils.py:274(_create_id_label_maps)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(emit)
        2    0.000    0.000    0.000    0.000 tokenization_utils_base.py:219(__init__)
      486    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      139    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 rope_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '__setstate__' of 'tokenizers.models.Model' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      385    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
      159    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
       58    0.000    0.000    0.000    0.000 dataclasses.py:591(_field_init)
       53    0.000    0.000    0.000    0.000 inspect.py:2071(_signature_is_functionlike)
      159    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
       53    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        2    0.000    0.000    0.000    0.000 typing.py:1576(copy_with)
        6    0.000    0.000    0.000    0.000 positional_encoding.py:30(__init__)
       58    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:423(__exit__)
        1    0.000    0.000    0.000    0.000 import_utils.py:1958(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:1341(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        3    0.000    0.000    0.000    0.000 modeling_rope_utils.py:705(validate_rope)
        1    0.000    0.000    0.000    0.000 fnmatch.py:95(translate)
     18/6    0.000    0.000    0.000    0.000 import_utils.py:2711(propagate_frozenset)
       14    0.000    0.000    0.000    0.000 __init__.py:281(_parse_path)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 __init__.py:1133(__init__)
